"Privato/Pubblico";"Regione";"Codice edificio";"DO_Y";"DO_X";"Agibilità";"Provincia";"Codice ISTAT";"ID";"X Gauss-Boaga";"gid";"Y Gauss-Boaga";"Comune";
"privato";"Toscana";"CASO_0015_359+";"44.2108606235338";"10.1825175305955";"A";"MASSA-CARRARA";"9450004";"32";"1594500";"32";"4895990";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00402";"44.2105005801172";"10.1825103276882";"A";"MASSA-CARRARA";"9450004";"33";"1594500";"33";"4895950";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_344+";"44.2113942107625";"10.1831540589994";"A";"MASSA-CARRARA";"9450004";"34";"1594550";"34";"4896050";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_376+";"44.2106793065646";"10.182639072376";"A";"MASSA-CARRARA";"9450004";"35";"1594510";"35";"4895970";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_358+";"44.2108606235338";"10.1825175305955";"A";"MASSA-CARRARA";"9450004";"36";"1594500";"36";"4895990";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00402";"44.2105005801172";"10.1825103276882";"B";"MASSA-CARRARA";"9450004";"37";"1594500";"37";"4895950";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00730";"44.2108502575206";"10.1835186794159";"C";"MASSA-CARRARA";"9450004";"38";"1594580";"38";"4895990";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00425";"44.2109298935213";"10.1845216314947";"C";"MASSA-CARRARA";"9450004";"39";"1594660";"39";"4896000";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0015_00418";"44.2113695636762";"10.1855318074906";"C";"MASSA-CARRARA";"9450004";"40";"1594740";"40";"4896050";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_789+";"44.2007436463991";"10.1770589639941";"A";"MASSA-CARRARA";"9450004";"41";"1594080";"41";"4894860";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_226+";"44.2011872555474";"10.1776935400691";"A";"MASSA-CARRARA";"9450004";"42";"1594130";"42";"4894910";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_428+";"44.1998525537502";"10.1761652023022";"A";"MASSA-CARRARA";"9450004";"43";"1594010";"43";"4894760";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00460";"44.1995863833759";"10.1757844710134";"E";"MASSA-CARRARA";"9450004";"44";"1593980";"44";"4894730";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0024_00465";"44.1994937967224";"10.176032920981";"E";"MASSA-CARRARA";"9450004";"45";"1594000";"45";"4894720";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00625";"44.1736678927332";"10.1835254483725";"B";"MASSA-CARRARA";"9450004";"46";"1594640";"46";"4891860";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00572";"44.1743070375411";"10.182662584278";"C";"MASSA-CARRARA";"9450004";"47";"1594570";"47";"4891930";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00639";"44.1732165401832";"10.1836415127182";"E";"MASSA-CARRARA";"9450004";"48";"1594650";"48";"4891810";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00573";"44.1743957543717";"10.1827894494399";"E";"MASSA-CARRARA";"9450004";"49";"1594580";"49";"4891940";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_01000";"44.1734878699171";"10.1835218485031";"E";"MASSA-CARRARA";"9450004";"50";"1594640";"50";"4891840";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00610";"44.1739418127183";"10.1831556517567";"E";"MASSA-CARRARA";"9450004";"51";"1594610";"51";"4891890";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00482";"44.1749474694875";"10.1816746338534";"E";"MASSA-CARRARA";"9450004";"52";"1594490";"52";"4892000";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00562";"44.1744883548474";"10.1825411149507";"E";"MASSA-CARRARA";"9450004";"53";"1594560";"53";"4891950";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00600";"44.1737630848624";"10.1830269878472";"E";"MASSA-CARRARA";"9450004";"54";"1594600";"54";"4891870";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00597";"44.1741205404152";"10.183284316452";"E";"MASSA-CARRARA";"9450004";"55";"1594620";"55";"4891910";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_486+";"44.174944882306";"10.1819247692349";"A";"MASSA-CARRARA";"9450004";"56";"1594510";"56";"4892000";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_481+";"44.1748587514217";"10.1815477691363";"A";"MASSA-CARRARA";"9450004";"57";"1594480";"57";"4891990";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_476+";"44.1750387743226";"10.1815513631722";"A";"MASSA-CARRARA";"9450004";"58";"1594480";"58";"4892010";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_997+";"44.1749474694875";"10.1816746338534";"A";"MASSA-CARRARA";"9450004";"59";"1594490";"59";"4892000";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_476+";"44.1750387743226";"10.1815513631722";"A";"MASSA-CARRARA";"9450004";"60";"1594480";"60";"4892010";"Casola in Lunigiana";
"privato";"Toscana";"CASO_0035_00484";"44.1750361874068";"10.1818014989507";"F";"MASSA-CARRARA";"9450004";"61";"1594500";"61";"4892010";"Casola in Lunigiana";
